fenso	fen	fe'o	
fepni	fep	fei	
ferti	fre		
festi	fes		
fetsi	fet	fe'i	
figre	fig		
filso	fis		
finpe	fip	fi'e	
finti	fin	fi'i	
flalu	fla		
flecu	fle		
*flese	les		
fliba	fli		
flira	fir		
fo'a	fo'a		
fo'e	fo'e		
fo'i	fo'i		
foldi	foi	flo	
fonmo	fo'o	fom	
fonxa	fon		
forca	fro		
fraso	fas		
frati	fra		
fraxu	fax		
frica	fic		
friko	fi'o		
frili	fil		
friti	fit		
frumu	fru		
fukpi	fu'i	fuk	
fulta	flu	ful	
funca	fu'a	fun	
fusra	fur		
fuzme	fuz	fu'e	
*ga'ei	gel		
gacri	gai		
gadri	gad		
galfi	gaf	ga'i	
galtu	ga'u	gal	
ganlo	ga'o		
ganra	gan		
ganse	gas	ga'e	
ganxo	gax		
ganzu	gaz		
gapci	gac		
gapru	gap		
garna	gar		
gasnu	gau		
gasta	gat		
genja	gej		
gento	get	ge'o	
genxu	gex		
gerku	ge'u	ger	
gerna	ge'a	gen	
gidva	gi'a	gid	
gigdo	gi'o	gig	
ginka	gik		
girzu	gir	gri	
gismu	gi'u	gim	
glare	gla		
gleki	gek	gei	
gletu	gle	let	
glico	gli	gic	
gluta	glu		
gocti	goc		
gotro	got		
gradu	rau		
grake	gra		
grana	ga'a		
grasu	ras		
*grava	gav		
greku	rek		
grusi	rus		
grute	rut		
gubni	gub		
gugde	gug	gu'e	
*gugle	gul		
gundi	gud		
gunka	gun	gu'a	
gunma	gum		
gunro	gur	gu'o	
gunta	gut		
gurni	gru		
guska	guk		
gusni	gus	gu'i	
gutci	guc		
guzme	guz	zme	
ja	jav		
jadni	jad	ja'i	
jai	jax		
jalge	jag	ja'e	
jamfu	jma	jaf	
jamna	jam		
janbe	jab		
janco	jan		
janli	jal		
jansu	jas		
janta	jat		
jarco	ja'o		
jarki	jak		
jaspu	jap		
jatna	ja'a		
javni	jva		
jbama	bam		
jbari	jba		
jbena	jbe		
jbera	jer		
jbini	bin	bi'i	
jdari	jar		
jdice	jdi		
jdima	di'a		
jdini	di'i	din	
jduli	dul	jdu	
je	jev	jve	
jecta	jec	je'a	
jeftu	jef		
jegvo	je'o	jeg	
jei	jez		
jelca	jel		
jemna	jme		
jenca	jen		
jendu	jed		
jenmi	jem	jei	
jersi	je'i		
jerxo	jex		
jesni	jes		
jetce	je'e		
jetnu	je'u	jet	
jgalu	ja'u		
jganu	jga		
jgari	jai		
jgena	jge		
jgina	gin		
jgira	jgi		
jgita	git		
jibni	jbi		
jibri	jib		
jicmu	cmu		
jijnu	jij		
jikca	jik		
jilka	jil		
jimca	jic		
jimpe	jmi		
jimte	jit		
*jinda	jid		
jinga	jig	ji'a	
jinme	jim		
jinru	jir		
jinsa	jis		
jinvi	ji'i	jiv	
jinzi	jiz		
jipno	ji'o	jip	
jitfa	jif		
jitro	tro		
jivna	jvi		
jmaji	jaj		
jmina	min		
jmive	ji'e	miv	
jo	jov		
jo'e	jom		
jo'u	jo'u		
joi	joi	jol	
*jonse	jos		
jordo	jo'o	jor	
jorne	jo'e	jon	
ju	juv		
jubme	jbu	jub	
jufra	juf	ju'a	
jukni	juk		
jukpa	jup		
julne	ju'e		
jundi	ju'i	jud	
jungo	jug		
junla	jul		
junri	jur		
jurme	jum		
jursa	jus		
jutsi	jut		
juxre	jux		
jvinu	ji'u	vin	
ka	kam		
kagni	kag		
kajde	jde		
kakne	ka'e		
kalri	kar		
kalsa	kas		
kalte	kat		
kampu	kau		
kancu	kac		
kandi	kad		
kanji	kaj		
kanla	kal		
kanro	ka'o		
kansa	kan		
kantu	ka'u		
kanxe	kax		
karbi	kab		
katna	ka'a		
kavbu	kav		
*kazra	kaz		
ke	kem		
ke'e	ke'e	kep	
kecti	kec	ke'i	
kei	kez		
*kekli	kek		
kelci	kei	kel	
kelvo	ke'o		
kenra	ken		
kensa	kes		
kerfa	kre		
kerlo	ker		
ketco	ket	tco	
kevna	ke'a	kev	
*kibro	kib		
kicne	ki'e	kic	
kijno	kij		
kilto	ki'o		
kinli	kil		
kisto	kis		
klaji	laj		
klaku	kak		
klama	kla		
klani	lai		
klesi	lei	kle	
klina	kli		
kliti	kit		
klupe	lu'e	lup	
kluza	luz		
kobli	ko'i	kob	
kojna	koj	ko'a	
kolme	kol	ko'e	
komcu	kom		
konju	kon	ko'u	
korbi	koi	kor	
korcu	kro		
korka	kok		
kosta	kos		
krasi	kra		
krati	ka'i		
krefu	ref	ke'u	
krici	kri		
krinu	rin	ki'u	
krixa	ki'a	kix	
kruca	kuc		
kruji	ruj		
kruvi	kru	ruv	
ku'a	kuz		
kubli	kub		
kufra	kuf		
kukte	kuk		
kulnu	klu		
kumfa	ku'a	kum	
kunra	kun		
kunti	kut		
kurfa	kur		
kurji	ku'i	kuj	
kuspe	kup	ku'e	
kusru	kus		
lacpu	lap	cpu	
lacri	lac		
ladru	lad		
lafti	laf		
lakne	la'e		
lakse	lak		
lalxu	la'u		
lamji	la'i	lam	
lanli	lal		
lanme	lan		
lanxe	lax		
lanzu	laz		
larcu	lar		
lasna	la'a		
latmo	la'o		
le'e	lem		
lebna	le'a	leb	
*lelxe	lel		
lenjo	len	le'o	
lenku	lek		
lerci	lec		
lerfu	le'u	ler	
li'i	liz		
libjo	lib		
lidne	li'e		
lifri	fri	lif	
lijda	jda		
limna	lim		
lindi	lid		
linji	lij	li'i	
linsi	lin		
linto	li'o		
lisri	lis		
liste	ste		
litce	lic		
litki	lik		
litru	li'u		
livla	lil		
lo'e	lom		
logji	loj		
lojbo	jbo	lob	
loldi	loi	lol	
lorxu	lo'u	lor	
lubno	lu'o		
lujvo	jvo	luv	
*luksi	luk		
lumci	lum	lu'i	
lunbe	lub		
lunra	lur		
lunsa	lus		
mabla	mal		
mabru	mab		
macnu	cnu		
makcu	ma'u		
makfa	maf		
maksi	mak		
malsi	mas		
mamta	mam		
manci	mac		
manku	man		
manri	mar		
mapku	map		
mapti	mat		
marbi	mra		
marce	ma'e		
marde	mad		
margu	mag		
marji	mai	maj	
marxa	max		
masno	sno		
masti	ma'i		
mavji	mav		
maxri	xri		
mebri	meb		
megdo	meg		
mei	mem	mei	
mekso	mek	me'o	
melbi	mle	mel	
meljo	mej		
menli	men		
mensi	mes	me'i	
mentu	met	me'u	
merko	mer		
merli	mre		
mexno	mex		
mi	mib		
midju	mij		
mifra	mif		
mikce	mic		
mikri	mik		
milti	mil		
milxe	mli		
minde	mi'e	mid	
minji	mi'i		
minra	mir		
mintu	mi'u	mit	
mipri	mip		
misno	mi'o	mis	
mitre	tre		
mixre	xre	mix	
mlana	mla		
mlatu	lat		
mleca	me'a	mec	
mledi	led		
mluni	lun		
mo'a	mob		
mo'i	mov		
moi	mom	moi	
mokca	moc		
moklu	mo'u	mol	
molki	mlo		
molro	mo'o		
morji	mo'i	moj	
morko	mor		
morna	mon	mo'a	
morsi	mro		
mosra	mos		
mrilu	mri		
mruli	mru		
mu	mum		
mu'e	muf		
mucti	mut		
mudri	mud		
mukti	muk	mu'i	
mulno	mu'o	mul	
munje	muj	mu'e	
mupli	mup		
murta	mu'a	mur	
muslo	mus		
mutce	tce		
muvdu	mu'u	muv	
muzga	muz		
na	nar		
na'e	nal		
nabmi	nam		
nakni	nak		
nalci	na'i		
namcu	na'u	nac	
nanba	nab		
nanca	na'a		
nandu	nad		
nanmu	nau		
nanvi	nav		
narge	nag		
narju	naj		
natfe	na'e	naf	
natmi	nat	nai	
naxle	nax	xle	
nazbi	zbi	naz	
nejni	nen		
nelci	nel	nei	
nenri	ner	ne'i	
ni	nil		
nibli	ni'i	nib	
*nicfa	nif		
nicte	cte		
nikle	nik		
nilce	ni'e		
ninmu	ni'u	nim	
nirna	nir		
nitcu	tcu		
nivji	niv		
nixli	nix	xli	
no	non		
no'e	nor	no'e	
nobli	no'i	nol	
notci	not	noi	
nu	nun		
nu'o	nu'o		
nukni	nuk		
nupre	nup	nu'e	
nurma	num		
nutli	nul	nu'i	
nuzba	nuz		
pa	pav		
pacna	pa'a		
pagbu	pau	pag	
pagre	gre		
pajni	pai		
palci	pac		
palku	pak		
panci	pan		
pandi	pad		
panlo	pa'o		
panpi	pap		
pante	pat		
panzi	paz		
parbi	pab		
pastu	pas		
patfu	paf	pa'u	
patxu	pax		
pe'a	pev		
pelji	ple		
pelxu	pel		
pemci	pem		
penbi	peb		
pencu	pec	pe'u	
pendo	pe'o	ped	
penmi	pen	pe'i	
pensi	pes	pei	
perli	per		
pesxu	pex		
petso	pet		
pezli	pez		
pi	piz		
pi'u	piv		
picti	pic		
pilji	pi'i		
pilka	pil	pi'a	
pilno	pli		
pimlu	pi'u	pim	
pindi	pid		
pinfu	pif		
pinka	pik		
pinsi	pis		
pinta	pin		
pinxe	pix		
pipno	pi'o		
pixra	pir	xra	
platu	pla		
pleji	lej	le'i	
plibu	pib		
plipe	pip	pi'e	
plita	pit		
plixa	lix		
pluja	luj		
pluka	puk	pu'a	
pluta	lut	lu'a	
polje	plo		
polno	pol		
ponjo	po'o	pon	
ponse	po'e	pos	
porpi	pop	po'i	
porsi	poi	por	
porto	pot		
prali	pal		
prami	pa'i	pam	
prane	pa'e		
preja	pej	pe'a	
prenu	pre		
preti	rei	ret	
prije	pij		
prina	pri		
prosa	ro'a	ros	
pruce	ru'e	ruc	
pruni	pun		
pruxi	rux	ru'i	
pu'i	pus		
pu'u	puv		
pulce	puc	pu'e	
punji	puj	pu'i	
punli	pul		
*pupsu	pup		
purci	pru	pur	
purdi	pud		
purmo	pu'o	pum	
radno	ra'o		
rafsi	raf		
ragve	rav		
raktu	ra'u		
ralci	rac		
ralju	ral		
ralte	ra'e		
randa	rad		
rango	rag		
ranji	ra'i		
ranmi	ram		
ranti	ran		
ranxi	rax		
rapli	rap		
rarna	rar		
ratni	rat		
re	rel		
rebla	reb		
rectu	rec	re'u	
remna	rem	re'a	
renro	re'o	rer	
renvi	rev	re'i	
respa	res		
*rexsa	rex		
ricfu	rif	cfu	
rigni	rig		
rijno	rij		
rilti	ril		
rimni	rim		
rinju	ri'u		
rinka	ri'a	rik	
rirni	rir		
rirxe	ri'e		
rismi	ris		
ritli	ri'i		
rivbi	riv		
ro	rol		
roi	roi	rom	
rokci	rok	ro'i	
romge	rog		
ropno	ro'o	ron	
rorci	ror		
rotsu	rot	tsu	ro'u
rozgu	zgu	roz	
ruble	ble	rub	
rufsu	ruf		
runme	rum		
rupnu	ru'u	rup	
rusko	ruk	ru'o	
rutni	run		
sabji	sab		
sadjo	djo		
sakci	sak		
sakli	sal		
sakta	sat		
salci	sla		
salpo	sa'o		
sampu	sap		
sance	sna		
sanga	sa'a	sag	
sanji	saj		
sanli	sa'i		
sanmi	sai		
sarcu	sa'u		
sarji	sra		
sarxe	sax		
saske	ske		
satre	sa'e		
savru	sav	vru	
sazri	saz		
se	sel		
sefta	sfe		
selci	sle		
selfu	se'u	sef	
semto	sme		
senci	sec		
senpi	sen		
senta	set		
senva	sne	sev	
sepli	sep	sei	
serti	ser		
setca	se'a		
sevzi	sez	se'i	
sfasa	sfa		
sfofa	sfo		
sfubu	su'u	sub	
si'o	siz		
siclu	sil		
sicni	si'i		
sidbo	sib	si'o	
sidju	dju		
sigja	sig		
silka	sik		
simlu	mlu		
simsa	smi		
simxu	si'u	sim	
sinma	si'a		
sinxa	sni		
sipna	sip		
sirji	sir		
sirxo	six		
sisku	sis		
sisti	sti		
sitna	sit		
sivni	siv		
skami	sam		
skapi	kap		
skari	ska		
skicu	ski		
skiji	sij		
skina	kin		
skori	sko		
skoto	kot	ko'o	
skuro	ku'o		
slabu	sau		
slari	sar		
slasi	las		
sligu	lig		
slilu	sli		
slovo	lov	lo'o	
sluji	slu		
smaji	sma		
smoka	smo		
smuci	muc		
smuni	smu	mun	
*smusu	sus		
snada	sad		
snanu	nan		
snidu	nid		
snime	si'e		
snipa	nip		
snuji	nuj		
snura	nur	nu'a	
snuti	nut		
so	soz		
so'a	soj		
so'e	sop		
so'i	sor	so'i	
so'o	sos		
so'u	sot		
sobde	so'e	sob	
sodva	sod		
softo	sof		
solji	slo		
solri	sol		
sombo	som	so'o	
sonci	son	soi	
sorcu	soc	sro	
sorgu	sog		
sovda	so'a	sov	
spaji	paj		
spano	san		
spati	spa		
speni	spe		
spisa	spi		
spofu	pof	po'u	
spoja	po'a	poj	
spuda	spu		
sputu	put	pu'u	
sraji	raj		
sraku	rak		
srana	ra'a		
srasu	sas		
srera	sre		
sruma	ru'a		
sruri	sru	rur	
stace	sac		
staku	tak		
stali	sta		
stapa	tap		
steba	seb		
steci	tec	te'i	
stedu	sed		
stela	tel		
stero	te'o		
stici	sic		
stidi	ti'i	sid	
stika	tik		
stizu	tiz		
stodi	sto		
stuna	sun		
stura	tur	su'a	
stuzi	tuz	stu	
su'e	su'e	sup	
su'o	suz	su'o	
su'u	suv		
sucta	suc		
sudga	sud		
sufti	sfu		
suksa	suk		
sumji	suj		
sumti	su'i	sum	
sunga	sug		
sunla	sul		
surla	sur		
sutra	sut		
ta	taz		
tabno	tab		
tadni	tad		
tagji	tag		
talsa	tal		
tamji	taj		
tanbo	ta'o		
tance	tac		
tanru	tau		
tansi	tas		
tanxe	ta'e	tax	
tarci	tar		
tarmi	tam	tai	
tarti	tra		
tatpi	ta'i		
tatru	tat		
tavla	ta'a	tav	
taxfu	ta'u	taf	
tcaci	cac		
tcadu	tca		
tcena	ten		
tcica	tic		
tcidu	tid		
tcila	til		
tcima	tim	ti'a	
te	ter		
temci	tei	tem	
*tende	te'e		
tenfa	tef		
tengu	te'u	teg	
terdi	ted		
terpa	tep	te'a	
terto	tet		
ti	tif		
tigni	tig		
tikpa	tip		
tilju	tij		
tinbe	tib		
tirna	tin		
tirse	tir		
tisna	tis		
titla	tit		
tivni	tiv		
tixnu	tix	ti'u	
*to'ai	toz		
to'e	tol	to'e	
toknu	tok		
toldi	tod		
tonga	to'a	tog	
tordu	to'u	tor	
torni	ton	to'i	
traji	rai		
trene	ren	re'e	
tricu	ric		
trina	tri		
trixe	rix	ti'e	
troci	toc	toi	
tsali	tsa		
tsani	tan		
tsiju	tsi		
tsina	sin		
tu	tuf		
tubnu	tu'u		
tugni	tug	tu'i	
tujli	tuj		
tumla	tum	tu'a	
tunba	tub		
tunka	tuk		
tunlo	tul	tu'o	
tunta	tun		
tuple	tu'e	tup	
turni	tru		
tutci	tci		
tutra	tut		
va	vaz		
vacri	var		
vajni	vai	vaj	
valsi	val	vla	
vamji	vam	va'i	
vamtu	vat		
vanbi	vab		
vanci	vac		
vanju	van		
vasru	vas	vau	
vasxu	vax	va'u	
ve	vel		
ve'e	ve'e		
vecnu	ven	ve'u	
*vedli	ve'i		
venfu	vef		
vensa	ves		
verba	ver	ve'a	
vi	viz		
vibna	vib		
vidru	vir		
vifne	vif		
vikmi	vi'i	vim	
viknu	vik		
vimcu	vi'u	vic	
vindu	vid		
vinji	vij		
vipsi	vip		
virnu	vri		
viska	vis	vi'a	
vitci	vit		
vitke	vi'e		
vitno	vi'o		
vlagi	lag		
vlile	vil		
vlipa	vli		
vo	von		
*vo'ai	voz		
vofli	voi	vol	
voksa	vo'a	vok	
vorme	vor	vro	
vraga	vra		
vreji	vei	rej	
vreta	vre		
vrude	vud	vu'e	
vrusi	vu'i	vus	
vu	vuz		
*vubla	vul		
*vujnu	vuj	vu'u	
vukro	vu'o	vur	
xa	xav		
xabju	xa'u		
xadba	xab		
xadni	xad		
xajmi	xam		
xaksu	xak		
xalka	xal		
xamgu	xag	xau	
xampo	xa'o	xap	
xamsi	xas		
xance	xan	xa'e	
xanri	xar		
xarci	xac	xa'i	
xarju	xaj		
xatra	xa'a		
xatsi	xat		
xazdo	zdo	xaz	
xe	xel		
xebni	xei	xen	
xebro	bro	xeb	
xecto	cto	xet	
xedja	xe'a	xej	
xekri	xe'i	xek	
xelso	xes		
xendo	xed	xe'o	
xenru	xe'u	xer	
xexso	xex		
*xigzo	xig		
xindo	xin		
xinmo	xim		
xirma	xir	xi'a	
xislu	xil	xi'u	
xispo	xip		
xlali	xla		
xlura	xlu		
*xo'ai	xoz		
*xo'ei	xon		
xotli	xoi	xol	
xrabo	rab		
xrani	xai		
xriso	xi'o	xis	
xruba	xub		
xruki	xuk		
xrula	rul		
xruti	xru		
xukmi	xum	xu'i	
*xulta	xut		
xunre	xun	xu'e	
xurdo	xu'o	xur	
xusra	xus	xu'a	
xutla	xul		
za'i	zaz		
za'o	za'o		
zabna	zan	za'a	
*zai'e	zam		
zajba	zaj		
zalvi	zal		
zanru	zau	zar	
zarci	zai	zac	
zargu	zag	za'u	
zasni	zas		
zasti	zat	za'i	
zbabu	bab		
zbasu	zba		
zbepi	zbe		
zdani	zda		
zdile	zdi		
ze	zel		
ze'e	ze'e		
ze'o	zev	ze'o	
zekri	zei	zer	
zenba	ze'a	zen	
zepti	zep		
zetro	zet		
zgana	zga		
zgike	zgi	gi'e	
*zi'ai	zam		
zi'o	zil		
zifre	zi'e	zif	
zinki	zi'i	zin	
zirpu	zir	zi'u	
zivle	ziv	vle	
zmadu	mau	zma	
zmiku	zmi		
zo'a	zo'a	zon	
zo'i	zor	zo'i	
zu'o	zum		
*zucna	zuc	zu'a	
zukte	zu'e	zuk	
zumri	zmu		
zungi	zug		
zunle	zul		
zunti	zu'i	zun	
zutse	zut	tse	
zvati	zva		
*zviki	zvi		
