guska,guk
gusni,gu'i,gus
gutci,guc
guzme,zme,guz
ja,jav
jadni,ja'i,jad
jai,jax
jalge,jag,ja'e
jamfu,jaf,jma
jamna,jam
janbe,jab
janco,jan
janli,jal
jansu,jas
janta,jat
jarco,ja'o
jarki,jak
jaspu,jap
jatna,ja'a
javni,jva
jbama,bam
jbari,jba
jbena,jbe
jbera,jer
jbini,bi'i,bin
jdari,jar
jdice,jdi
jdima,di'a
jdini,din,di'i
jduli,jdu,dul
je,jve,jev
jecta,je'a,jec
jeftu,jef
jegvo,jeg,je'o
jei,jez
jelca,jel
jemna,jme
jenca,jen
jendu,jed
jenmi,jei,jem
jersi,je'i
jerxo,jex
jesni,jes
jetce,je'e
jetnu,jet,je'u
jgalu,ja'u
jganu,jga
jgari,jai
jgena,jge
jgina,gin
jgira,jgi
jgita,git
jibni,jbi
jibri,jib
jicmu,cmu
jijnu,jij
jikca,jik
jilka,jil
jimca,jic
jimpe,jmi
jimte,jit
*jinda,jid
jinga,jig,ji'a
jinme,jim
jinru,jir
jinsa,jis
jinvi,ji'i,jiv
jinzi,jiz
jipno,jip,ji'o
jitfa,jif
jitro,tro
jivna,jvi
jmaji,jaj
jmina,min
jmive,miv,ji'e
jo,jov
jo'e,jom
jo'u,jo'u
joi,joi,jol
*jonse,jos
jordo,jo'o,jor
jorne,jon,jo'e
ju,juv
jubme,jub,jbu
jufra,ju'a,juf
jukni,juk
jukpa,jup
julne,ju'e
jundi,ju'i,jud
jungo,jug
junla,jul
junri,jur
jurme,jum
jursa,jus
jutsi,jut
juxre,jux
jvinu,vin,ji'u
ka,kam
kagni,kag
kajde,jde
kakne,ka'e
kalri,kar
kalsa,kas
kalte,kat
kampu,kau
kancu,kac
kandi,kad
kanji,kaj
kanla,kal
kanro,ka'o
kansa,kan
kantu,ka'u
kanxe,kax
karbi,kab
katna,ka'a
kavbu,kav
*kazra,kaz
ke,kem
ke'e,ke'e,kep
kecti,ke'i,kec
kei,kez
*kekli,kek
kelci,kei,kel
kelvo,ke'o
kenra,ken
kensa,kes
kerfa,kre
kerlo,ker
ketco,tco,ket
kevna,ke'a,kev
*kibro,kib
kicne,ki'e,kic
kijno,kij
kilto,ki'o
kinli,kil
kisto,kis
klaji,laj
klaku,kak
klama,kla
klani,lai
klesi,kle,lei
klina,kli
kliti,kit
klupe,lu'e,lup
kluza,luz
kobli,ko'i,kob
kojna,koj,ko'a
kolme,ko'e,kol
komcu,kom
konju,kon,ko'u
korbi,koi,kor
korcu,kro
korka,kok
kosta,kos
krasi,kra
krati,ka'i
krefu,ref,ke'u
krici,kri
krinu,rin,ki'u
krixa,ki'a,kix
kruca,kuc
kruji,ruj
kruvi,ruv,kru
ku'a,kuz
kubli,kub
kufra,kuf
kukte,kuk
kulnu,klu
kumfa,kum,ku'a
kunra,kun
kunti,kut
kurfa,kur
kurji,ku'i,kuj
kuspe,kup,ku'e
kusru,kus
lacpu,cpu,lap
lacri,lac
ladru,lad
lafti,laf
lakne,la'e
lakse,lak
lalxu,la'u
lamji,la'i,lam
lanli,lal
lanme,lan
lanxe,lax
lanzu,laz
larcu,lar
lasna,la'a
latmo,la'o
le'e,lem
lebna,le'a,leb
*lelxe,lel
lenjo,len,le'o
lenku,lek
lerci,lec
lerfu,le'u,ler
li'i,liz
libjo,lib
lidne,li'e
lifri,fri,lif
lijda,jda
limna,lim
lindi,lid
linji,li'i,lij
linsi,lin
linto,li'o
lisri,lis
liste,ste
litce,lic
litki,lik
litru,li'u
livla,lil
lo'e,lom
logji,loj
lojbo,lob,jbo
loldi,lol,loi
lorxu,lo'u,lor
lubno,lu'o
lujvo,luv,jvo
*luksi,luk
lumci,lum,lu'i
lunbe,lub
lunra,lur
lunsa,lus
mabla,mal
mabru,mab
macnu,cnu
makcu,ma'u
makfa,maf
maksi,mak
malsi,mas
mamta,mam
manci,mac
manku,man
manri,mar
mapku,map
mapti,mat
marbi,mra
marce,ma'e
marde,mad
margu,mag
marji,mai,maj
marxa,max
masno,sno
masti,ma'i
mavji,mav
maxri,xri
mebri,meb
megdo,meg
mei,mei,mem
mekso,mek,me'o
melbi,mel,mle
meljo,mej
menli,men
mensi,mes,me'i
mentu,met,me'u
merko,mer
merli,mre
mexno,mex
mi,mib
midju,mij
mifra,mif
mikce,mic
mikri,mik
milti,mil
milxe,mli
minde,mi'e,mid
minji,mi'i
minra,mir
mintu,mit,mi'u
mipri,mip
misno,mi'o,mis
mitre,tre
mixre,xre,mix
mlana,mla
mlatu,lat
mleca,mec,me'a
mledi,led
mluni,lun
mo'a,mob
mo'i,mov
moi,mom,moi
mokca,moc
moklu,mol,mo'u
molki,mlo
molro,mo'o
morji,moj,mo'i
morko,mor
morna,mon,mo'a
morsi,mro
mosra,mos
mrilu,mri
mruli,mru
mu,mum
mu'e,muf
mucti,mut
mudri,mud
mukti,muk,mu'i
mulno,mu'o,mul
munje,muj,mu'e
mupli,mup
murta,mur,mu'a
muslo,mus
mutce,tce
muvdu,mu'u,muv
muzga,muz
na,nar
na'e,nal
nabmi,nam
nakni,nak
nalci,na'i
namcu,nac,na'u
nanba,nab
nanca,na'a
nandu,nad
nanmu,nau
nanvi,nav
narge,nag
narju,naj
natfe,na'e,naf
natmi,nai,nat
naxle,nax,xle
nazbi,naz,zbi
nejni,nen
nelci,nel,nei
nenri,ner,ne'i
ni,nil
nibli,nib,ni'i
*nicfa,nif
nicte,cte
nikle,nik
nilce,ni'e
ninmu,ni'u,nim
nirna,nir
nitcu,tcu
nivji,niv
nixli,nix,xli
no,non
no'e,no'e,nor
nobli,nol,no'i
notci,not,noi
nu,nun
nu'o,nu'o
nukni,nuk
nupre,nu'e,nup
nurma,num
nutli,nul,nu'i
nuzba,nuz
pa,pav
pacna,pa'a
pagbu,pau,pag
pagre,gre
pajni,pai
palci,pac
palku,pak
panci,pan
pandi,pad
panlo,pa'o
panpi,pap
pante,pat
panzi,paz
parbi,pab
pastu,pas
patfu,paf,pa'u
patxu,pax
pe'a,pev
pelji,ple
pelxu,pel
pemci,pem
penbi,peb
pencu,pe'u,pec
pendo,pe'o,ped
penmi,pe'i,pen
pensi,pes,pei
perli,per
pesxu,pex
petso,pet
pezli,pez
pi,piz
pi'u,piv
picti,pic
pilji,pi'i
